Id,AppUserId,AppRecipeId,Rate
51,c76e3b15-41fa-4278-a4df-72dea0c1c4c2,41,1.0
52,c76e3b15-41fa-4278-a4df-72dea0c1c4c2,42,5.0
53,c76e3b15-41fa-4278-a4df-72dea0c1c4c2,43,4.0
54,c76e3b15-41fa-4278-a4df-72dea0c1c4c2,44,2.0
55,c76e3b15-41fa-4278-a4df-72dea0c1c4c2,35,3.0
56,c76e3b15-41fa-4278-a4df-72dea0c1c4c2,34,3.0
57,c76e3b15-41fa-4278-a4df-72dea0c1c4c2,45,5.0
58,c76e3b15-41fa-4278-a4df-72dea0c1c4c2,29,2.0
59,c76e3b15-41fa-4278-a4df-72dea0c1c4c2,28,4.0
60,c76e3b15-41fa-4278-a4df-72dea0c1c4c2,27,1.0
61,19430afd-dbcf-43b9-9184-17a6a5a07062,1,3.0
62,19430afd-dbcf-43b9-9184-17a6a5a07062,3,4.0
63,19430afd-dbcf-43b9-9184-17a6a5a07062,4,2.0
64,19430afd-dbcf-43b9-9184-17a6a5a07062,6,1.0
65,19430afd-dbcf-43b9-9184-17a6a5a07062,37,5.0
66,19430afd-dbcf-43b9-9184-17a6a5a07062,39,5.0
67,19430afd-dbcf-43b9-9184-17a6a5a07062,46,4.0
68,19430afd-dbcf-43b9-9184-17a6a5a07062,24,1.0
69,19430afd-dbcf-43b9-9184-17a6a5a07062,28,1.0
70,19430afd-dbcf-43b9-9184-17a6a5a07062,34,2.0
71,19430afd-dbcf-43b9-9184-17a6a5a07062,45,2.0
72,19430afd-dbcf-43b9-9184-17a6a5a07062,47,1.0
73,19430afd-dbcf-43b9-9184-17a6a5a07062,7,4.0
74,19430afd-dbcf-43b9-9184-17a6a5a07062,44,3.0
75,19430afd-dbcf-43b9-9184-17a6a5a07062,41,5.0
76,19430afd-dbcf-43b9-9184-17a6a5a07062,40,4.0
77,19430afd-dbcf-43b9-9184-17a6a5a07062,48,5.0
78,19430afd-dbcf-43b9-9184-17a6a5a07062,49,5.0
79,19430afd-dbcf-43b9-9184-17a6a5a07062,50,5.0
80,19430afd-dbcf-43b9-9184-17a6a5a07062,51,3.0
1053,19430afd-dbcf-43b9-9184-17a6a5a07062,1052,4.0
2053,19430afd-dbcf-43b9-9184-17a6a5a07062,2067,3.0
2054,1b1b6db9-52be-4d14-af66-36da96dcedf4,46,5.0
2055,1b1b6db9-52be-4d14-af66-36da96dcedf4,39,5.0
2056,1b1b6db9-52be-4d14-af66-36da96dcedf4,38,5.0
2057,1b1b6db9-52be-4d14-af66-36da96dcedf4,6,5.0
2058,1b1b6db9-52be-4d14-af66-36da96dcedf4,37,5.0
2059,1b1b6db9-52be-4d14-af66-36da96dcedf4,8,5.0
2060,1b1b6db9-52be-4d14-af66-36da96dcedf4,4,5.0
2061,1b1b6db9-52be-4d14-af66-36da96dcedf4,3,5.0
2062,1b1b6db9-52be-4d14-af66-36da96dcedf4,36,5.0
2063,1b1b6db9-52be-4d14-af66-36da96dcedf4,5,5.0
2064,1b1b6db9-52be-4d14-af66-36da96dcedf4,1,5.0
2065,1b1b6db9-52be-4d14-af66-36da96dcedf4,2,5.0
2066,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,52,5.0
2067,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,53,5.0
2068,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,54,5.0
2069,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,55,5.0
2070,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,2072,5.0
2071,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,57,5.0
2072,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,58,5.0
2073,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,2073,5.0
2074,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,2074,5.0
2075,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,2075,5.0
2076,dbccfb81-fe65-4c59-b9ac-7574b4c9ec68,7,5.0
2077,dbccfb81-fe65-4c59-b9ac-7574b4c9ec68,44,5.0
2078,dbccfb81-fe65-4c59-b9ac-7574b4c9ec68,43,5.0
2079,dbccfb81-fe65-4c59-b9ac-7574b4c9ec68,40,5.0
2080,dbccfb81-fe65-4c59-b9ac-7574b4c9ec68,41,5.0
2081,dbccfb81-fe65-4c59-b9ac-7574b4c9ec68,42,5.0
2082,dbccfb81-fe65-4c59-b9ac-7574b4c9ec68,2076,5.0
2083,dbccfb81-fe65-4c59-b9ac-7574b4c9ec68,48,5.0
2084,dbccfb81-fe65-4c59-b9ac-7574b4c9ec68,49,5.0
2085,dbccfb81-fe65-4c59-b9ac-7574b4c9ec68,2077,5.0
2086,dbccfb81-fe65-4c59-b9ac-7574b4c9ec68,50,5.0
2087,dbccfb81-fe65-4c59-b9ac-7574b4c9ec68,51,5.0
2088,dbccfb81-fe65-4c59-b9ac-7574b4c9ec68,2071,4.0
2089,9cf47856-899b-4c38-9927-540c03211b1b,2,0.0
2090,9cf47856-899b-4c38-9927-540c03211b1b,2078,0.0
2091,1b765b5a-f78b-4b84-8c37-2050b1365f2a,52,0.0
2092,1b765b5a-f78b-4b84-8c37-2050b1365f2a,16,0.0
