Id,Label,Uri
2067,Tabasco Spicy Potatoes,http://www.edamam.com/ontologies/edamam.owl#recipe_cb9682173c56e51ceee2278f11355b27
2068,Cheese Omelette,http://www.edamam.com/ontologies/edamam.owl#recipe_fd4777a5991711dbe7206cff25f84ff5
2069,Chili Cheese Dog Grilled Cheese Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_103611ea8e513cb9cd0fefb6eb76300e
2070,Fried Halloumi Cheese,http://www.edamam.com/ontologies/edamam.owl#recipe_112b681b8741be4173dda638abf4559c
2071,cheese dip,http://www.edamam.com/ontologies/edamam.owl#recipe_2409975f8963425abdc562d7a19c8301
2072,Meat fondue,http://www.edamam.com/ontologies/edamam.owl#recipe_03d5468f8040446ab6ff1ebaf7005db4
2073,Meat Lovers Pizza Spaghetti,http://www.edamam.com/ontologies/edamam.owl#recipe_6bc87bcf574a4a0292c30d3aa34fde41
2074,Meat Lovers' Supreme Pizza,http://www.edamam.com/ontologies/edamam.owl#recipe_896cef296d2b04530316b81affb07c58
2075,Meat Lovers' Supreme Pizza,http://www.edamam.com/ontologies/edamam.owl#recipe_d9145859771bef0a65bbc48cc3536dec
2076,Cheese & onion bread,http://www.edamam.com/ontologies/edamam.owl#recipe_c879553de68c4a7a934a7498fec21585
2077,Baguettes (French bread),http://www.edamam.com/ontologies/edamam.owl#recipe_3177e127c7a94cb4aad17a3bca47e79d
2078,Scampi Buzara (Skampi Na Buzaru),http://www.edamam.com/ontologies/edamam.owl#recipe_32462a95f7004d17dcbe7cfc4cf6941f
